Partlist

Exported from OSHintosh v23.sch at 20/Mar/26 10:36

EAGLE Version 9.7.0 Copyright (c) 1988-2026 Autodesk, Inc.

Assembly variant: 

Part     Value                Device                       Package                      Library                 Sheet
IC23     74LS166N             74LS166N                     DIL16                        74xx-eu                 1
IC24     74LS166N             74LS166N                     DIL16                        74xx-eu                 1
IC25     RAM                  41256C/D                     DIL16                        memory-nec              1
IC26     RAM                  41256C/D                     DIL16                        memory-nec              1
IC27     RAM                  41256C/D                     DIL16                        memory-nec              1
IC28     RAM                  41256C/D                     DIL16                        memory-nec              1
IC29     RAM                  41256C/D                     DIL16                        memory-nec              1
IC30     RAM                  41256C/D                     DIL16                        memory-nec              1
IC31     RAM                  41256C/D                     DIL16                        memory-nec              1
IC32     RAM                  41256C/D                     DIL16                        memory-nec              1
IC33     RAM                  41256C/D                     DIL16                        memory-nec              1
IC34     RAM                  41256C/D                     DIL16                        memory-nec              1
IC35     RAM                  41256C/D                     DIL16                        memory-nec              1
IC36     RAM                  41256C/D                     DIL16                        memory-nec              1
IC37     RAM                  41256C/D                     DIL16                        memory-nec              1
IC38     RAM                  41256C/D                     DIL16                        memory-nec              1
IC39     RAM                  41256C/D                     DIL16                        memory-nec              1
IC40     RAM                  41256C/D                     DIL16                        memory-nec              1
IC41     SST39SF040APH        SST39SF040APH                DIL32                        memory-sst              1
IC42     SST39SF040APH        SST39SF040APH                DIL32                        memory-sst              1
IC43     TL072P               TL072P                       DIL08                        linear                  1
IC44     4016N                4016N                        DIL14                        40xx                    1
IC45     74LS04N              74LS04N                      DIL14                        74xx-eu                 1
IC46     6522                 G65SC22P                     DIP-40                       65XXX                   1
IC47     ATTINY85             ATTINY45TINY85-20-DIP        DIP08_MCU                    SparkFun-Retired        1
IC48     74LS244N             74LS244N                     DIL20                        74xx-eu                 1
IC49     74LS02N              74LS02N                      DIL14                        74xx-us                 1
IC50     74LS161N             74LS161N                     DIL16                        74ttl-din               1
IC51     74LS161N             74LS161N                     DIL16                        74ttl-din               1
OSC1     15.6672MHz           XO-14                        DIL14S                       crystal                 1
OSC2     32.768kHz            CRYSTAL-32.768KHZPTH-2X6     CRYSTAL-PTH-2X6-CYL          SparkFun-Clocks         1
Q1       2N3906               2N3906                       TO92                         transistor-pnp          1
Q2       2N3904               2N3904                       TO92D                        transistor-small-signal 1
R1       470R                 470R_TH_RESISTOR             RESISTORTHRUHOLE             Resistors TH            1
R2       4k7                  4K7_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R3       6k8                  6K8_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R4       47k                  47K_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R5       1k                   1K_TH_RESISTOR               RESISTORTHRUHOLE             Resistors TH            1
R6       47k                  47K_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R7       68k                  68K_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R8       150k                 150K_TH_RESISTOR             RESISTORTHRUHOLE             Resistors TH            1
R9       470k                 470K_TH_RESISTOR             RESISTORTHRUHOLE             Resistors TH            1
R10      470k                 470K_TH_RESISTOR             RESISTORTHRUHOLE             Resistors TH            1
R11      200k                 100K_TH_RESISTOR             RESISTORTHRUHOLE             Resistors TH            1
R12      150R                 150R_TH_RESISTOR             RESISTORTHRUHOLE             Resistors TH            1
R13      27R                  27R_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R14      4k7                  4K7_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R15      4k7                  4K7_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R16      4k7                  4K7_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R17      4k7                  4K7_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R18      4k7                  4K7_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R19      4k7                  4K7_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R20      4k7                  4K7_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R21      47R                  47R_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R22      47R                  47R_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R23      47R                  47R_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R24      47R                  47R_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R25      47R                  47R_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R26      47R                  47R_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R27      47R                  47R_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R28      47R                  47R_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R29      47R                  47R_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R30      47R                  47R_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R31      47R                  47R_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R32      2k2                  2K2_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R33      1k                   1K_TH_RESISTOR               RESISTORTHRUHOLE             Resistors TH            1
R34      47R                  47R_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R35      3k3                  3K3_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R36      3k3                  3K3_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R37      22R                  22R_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R38      22R                  22R_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R39      22R                  22R_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R40      3k3                  3K3_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R41      22R                  22R_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R42      22R                  22R_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R43      3k3                  3K3_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R44      22R                  22R_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R45      22R                  22R_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R46      22R                  22R_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
R47      22R                  22R_TH_RESISTOR              RESISTORTHRUHOLE             Resistors TH            1
